 Autogenerated Input
35.17 9 0.95000000 1.1 
 	 R 	 Energy 
   0.94486307 -99.46772645 
   1.13939371 -99.88724371 
   1.33392432 -100.06982922 
   1.52845496 -100.14242613 
   1.72298560 -100.16092623 
   1.91751622 -100.15307444 
   2.11204686 -100.13306328 
   2.30657750 -100.10823652 
   2.50110812 -100.08248865 
   2.69563875 -100.05794438 
   2.89016937 -100.03576896 
   3.08470001 -100.01655613 
   3.27923065 -100.00052504 
   3.47376127 -99.98762471 
   3.66829191 -99.97756407 
   3.86282254 -99.96992602 
   4.05735316 -99.94278727 
   4.25188380 -99.94475575 
   4.44641444 -99.94620163 
   4.64094506 -99.94725882 
   4.83547570 -99.94802881 
   5.03000633 -99.94858763 
   5.22453695 -99.94899145 
   5.41906759 -99.94928164 
   5.61359823 -99.94948910 
   5.80812885 -99.94963535 
   6.00265949 -99.94973687 
   6.19719011 -99.94981289 
   6.39172074 -99.94986667 
   6.58625138 -99.94990432 
   6.78078200 -99.94993044 
   6.97531264 -99.94994834 
   7.16984328 -99.94996038 
   7.36437390 -99.94996825 
   7.55890454 -99.94997318 

