 Autogenerated Input
35.17 9 0.95000000 1.1 
 	 R 	 Energy 
   0.94486307 -99.63840310 
   1.13939371 -100.05990361 
   1.33392432 -100.24287288 
   1.52845496 -100.31492151 
   1.72298560 -100.33305850 
   1.91751622 -100.32489937 
   2.11204686 -100.30464684 
   2.30657750 -100.27961584 
   2.50110812 -100.25360280 
   2.69563875 -100.22858410 
   2.89016937 -100.20556059 
   3.08470001 -100.18499967 
   3.27923065 -100.16707395 
   3.47376127 -100.15177315 
   3.66829191 -100.13897596 
   3.86282254 -100.12847792 
   4.05735316 -100.12001833 
   4.25188380 -100.11330222 
   4.44641444 -100.10804488 
   4.64094506 -100.10396953 
   4.83547570 -100.10082506 
   5.03000633 -100.09840843 
   5.22453695 -100.09655187 
   5.41906759 -100.09512264 
   5.61359823 -100.09401822 
   5.80812885 -100.09315985 
   6.00265949 -100.09248824 
   6.19719011 -100.09195899 
   6.39172074 -100.09153880 
   6.58625138 -100.09120336 
   6.78078200 -100.09092849 
   6.97531264 -100.09071436 
   7.16984328 -100.09053574 
   7.36437390 -100.09038941 
   7.55890454 -100.09026836 

