 Autogenerated Input
35.17 9 0.95000000 1.1 
 	 R 	 Energy 
   0.94486307 -99.63293125 
   1.13939371 -100.05502876 
   1.33392432 -100.23867437 
   1.52845496 -100.31141263 
   1.72298560 -100.33022368 
   1.91751622 -100.32265821 
   2.11204686 -100.30285289 
   2.30657750 -100.27807143 
   2.50110812 -100.25206938 
   2.69563875 -100.22679157 
   2.89016937 -100.20321454 
   3.08470001 -100.18178798 
   3.27923065 -100.16267672 
   3.47376127 -100.14589261 
   3.66829191 -100.13136611 
   3.86282254 -100.11898639 
   4.05735316 -100.10862414 
   4.25188380 -100.10014454 
   4.44641444 -100.09341419 
   4.64094506 -100.08830437 
   4.83547570 -100.08469192 
   5.03000633 -100.08245878 
   5.22453695 -100.08149187 
   5.41906759 -100.08168240 
   5.61359823 -100.08292639 
   5.80812885 -100.08512507 
   6.00265949 -100.08818491 
   6.19719011 -100.09201867 
   6.39172074 -100.09654385 
   6.58625138 -100.10168342 
   6.78078200 -100.10736587 
   6.97531264 -100.11352329 
   7.16984328 -100.12009404 
   7.36437390 -100.12702128 
   7.55890454 -100.13425378 

