 Autogenerated Input
35.17 9 0.95000000 1.1 
 	 R 	 Energy 
   0.94486307 -99.38629543 
   1.13939371 -99.80411845 
   1.33392432 -99.98285483 
   1.52845496 -100.05020209 
   1.72298560 -100.06350113 
   1.91751622 -100.05058767 
   2.11204686 -100.02563715 
   2.30657750 -99.99585912 
   2.50110812 -99.96493570 
   2.69563875 -99.93473445 
   2.89016937 -99.90616227 
   3.08470001 -99.87961408 
   3.27923065 -99.85521345 
   3.47376127 -99.83293842 
   3.66829191 -99.81268863 
   3.86282254 -99.79432468 
   4.05735316 -99.77769227 
   4.25188380 -99.76263632 
   4.44641444 -99.74900863 
   4.64094506 -99.73667164 
   4.83547570 -99.72549979 
   5.03000633 -99.71537941 
   5.22453695 -99.70620776 
   5.41906759 -99.69789185 
   5.61359823 -99.69034713 
   5.80812885 -99.68349662 
   6.00265949 -99.67727021 
   6.19719011 -99.67160428 
   6.39172074 -99.66644138 
   6.58625138 -99.66172991 
   6.78078200 -99.65742370 
   6.97531264 -99.65348157 
   7.16984328 -99.64986678 
   7.36437390 -99.64654651 
   7.55890454 -99.64349138 

