 Autogenerated Input
35.17 9 0.95000000 1.1 
 	 R 	 Energy 
   0.94486307 -99.38629569 
   1.13939371 -99.80411880 
   1.33392432 -99.98285371 
   1.52845496 -99.67175837 
   1.72298560 -99.72738275 
   1.91751622 -99.76548703 
   2.11204686 -99.79615417 
   2.30657750 -99.82164577 
   2.50110812 -99.84237834 
   2.69563875 -99.85884922 
   2.89016937 -99.87172079 
   3.08470001 -99.88166298 
   3.27923065 -99.88927285 
   3.47376127 -99.89505162 
   3.66829191 -99.89940842 
   3.86282254 -99.90267063 
   4.05735316 -99.90509640 
   4.25188380 -99.90688811 
   4.44641444 -99.90820336 
   4.64094506 -99.90916380 
   4.83547570 -99.90986203 
   5.03000633 -99.91036741 
   5.22453695 -99.91073173 
   5.41906759 -99.91099294 
   5.61359823 -99.91117914 
   5.80812885 -99.91131199 
   6.00265949 -99.91140456 
   6.19719011 -99.91146954 
   6.39172074 -99.91151511 
   6.58625138 -99.91154746 
   6.78078200 -99.91156991 
   6.97531264 -99.91158524 
   7.16984328 -99.91159552 
   7.36437390 -99.91160223 
   7.55890454 -99.91160760 

